Date,Open,High,Low,Close,Adj Close,Volume
2001-06-15,55.424999,56.005001,55.174999,55.665001,36.957256,1067400
2001-06-18,55.814999,55.915001,55.310001,55.310001,36.721584,282600
2001-06-19,56.150002,56.165001,55.235001,55.465000,36.824467,1777600
2001-06-20,55.375000,56.075001,55.375000,56.049999,37.212872,476000
2001-06-21,56.000000,56.724998,55.875000,56.500000,37.511631,240400
2001-06-22,56.450001,56.450001,55.875000,56.139999,37.272614,180600
2001-06-25,56.099998,56.189999,55.389999,55.639999,37.032997,30400
2001-06-26,55.049999,55.775002,55.029999,55.494999,36.936512,146600
2001-06-27,55.599998,55.840000,55.235001,55.500000,36.939823,114000
2001-06-28,55.900002,56.689999,55.900002,56.180000,37.392429,357400
2001-06-29,56.025002,56.810001,55.955002,56.500000,37.605412,215000
2001-07-02,56.299999,56.970001,56.299999,56.650002,37.705235,290000
2001-07-03,56.575001,56.674999,56.415001,56.619999,37.685287,56800
2001-07-05,56.445000,56.470001,55.974998,55.974998,37.255978,627600
2001-07-06,55.500000,55.540001,54.500000,54.500000,36.274250,777000
2001-07-09,54.715000,55.099998,54.650002,54.849998,36.507214,850000
2001-07-10,55.130001,55.154999,54.125000,54.125000,36.024654,218000
2001-07-11,54.224998,54.259998,53.630001,54.195000,36.071228,47200
2001-07-12,54.724998,55.544998,54.720001,55.480000,36.926506,64800
2001-07-13,55.200001,55.869999,55.150002,55.744999,37.102901,430000
2001-07-16,55.775002,55.775002,55.040001,55.099998,36.673599,46400
2001-07-17,55.000000,55.750000,54.869999,55.750000,37.106236,183400
2001-07-18,55.275002,55.544998,54.955002,55.169998,36.720184,54400
2001-07-19,55.875000,56.119999,55.250000,55.480000,36.926506,18600
2001-07-20,55.500000,55.645000,55.250000,55.485001,36.929832,11600
2001-07-23,55.625000,55.695000,54.525002,54.525002,36.290886,52000
2001-07-24,54.334999,54.520000,53.400002,53.770000,35.788361,102400
2001-07-25,53.849998,54.470001,53.730000,54.450001,36.240978,519200
